date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:08:05	18845/18845	---M--	200	added ('OK')	text/css	etag:%22499d-5ad9d62b4f636%22	https://www.gaussfleet.com/gauss/assets/plugins/sweetalert/sweetalert.css	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/gauss/assets/plugins/sweetalert/sweetalert.css	(from https://www.gaussfleet.com/)
10:08:05	5263/5263	---M--	200	added ('OK')	text/css	etag:%22148f-5ad9d5ba09190%22	https://www.gaussfleet.com/website/assets/css/style-responsive.min.css	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/website/assets/css/style-responsive.min.css	(from https://www.gaussfleet.com/)
10:08:05	2305/2305	---M--	200	added ('OK')	text/css	etag:%22901-5ad9d5e9d27ef%22	https://www.gaussfleet.com/website/assets/css/theme/red.css	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/website/assets/css/theme/red.css	(from https://www.gaussfleet.com/)
10:08:06	1/1	---M--	200	added ('OK')	text/css	etag:%221-5ad9d5ef179df%22	https://www.gaussfleet.com/website/assets/css/pages/content.css?v=1.0	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/website/assets/css/pages/contentc619.css	(from https://www.gaussfleet.com/)
10:08:06	8911/8911	---M--	200	added ('OK')	image/png	etag:%2222cf-5ad9d5ecb7767%22	https://www.gaussfleet.com/gauss/assets/img/icon.png	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/gauss/assets/img/icon.png	(from https://www.gaussfleet.com/)
10:08:06	11853/11853	---M--	200	added ('OK')	image/png	etag:%222e4d-5ad9d5e24d33f%22	https://www.gaussfleet.com/website/assets/img/icons/contract.png	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/website/assets/img/icons/contract.png	(from https://www.gaussfleet.com/)
10:08:07	6286/6286	---M--	200	added ('OK')	image/png	etag:%22188e-5ad9d5b85f510%22	https://www.gaussfleet.com/website/assets/img/icons/timeline.png	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/website/assets/img/icons/timeline.png	(from https://www.gaussfleet.com/)
10:08:07	5037/5037	---M--	200	added ('OK')	image/png	etag:%2213ad-5ad9d5e4dfe4f%22	https://www.gaussfleet.com/website/assets/img/icons/gps.png	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/website/assets/img/icons/gps.png	(from https://www.gaussfleet.com/)
10:08:07	1276132/1276132	---M--	200	added ('OK')	image/png	etag:%221378e4-5ad9d5a6bfd78%22	https://www.gaussfleet.com/website/assets/img/bg/bg-01.png	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/website/assets/img/bg/bg-01.png	(from https://www.gaussfleet.com/)
10:08:07	7551/7551	---M--	200	added ('OK')	image/png	etag:%221d7f-5ad9d635e49de%22	https://www.gaussfleet.com/website/assets/img/icons/diagram.png	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/website/assets/img/icons/diagram.png	(from https://www.gaussfleet.com/)
10:08:07	5440/5440	---M--	200	added ('OK')	image/png	etag:%221540-5ad9d5efd7c17%22	https://www.gaussfleet.com/website/assets/img/icons/magnifier.png	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/website/assets/img/icons/magnifier.png	(from https://www.gaussfleet.com/)
10:08:07	2229/2229	---M--	200	added ('OK')	image/png	etag:%228b5-5ad9d5dfdd2df%22	https://www.gaussfleet.com/website/assets/img/icons/pie-chart.png	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/website/assets/img/icons/pie-chart.png	(from https://www.gaussfleet.com/)
10:08:08	6044/6044	---M--	200	added ('OK')	image/png	etag:%22179c-5ad9d5cc95a20%22	https://www.gaussfleet.com/website/assets/img/icons/wrench.png	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/website/assets/img/icons/wrench.png	(from https://www.gaussfleet.com/)
10:08:08	66589/66589	---MC-	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2012:45:01%20GMT	https://www.gaussfleet.com/api-javascript	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/api-javascript.html	(from https://www.gaussfleet.com/)
10:08:08	117190/117190	---M--	200	added ('OK')	image/png	etag:%221c9c6-5ad9d5c96f7b0%22	https://www.gaussfleet.com/website/assets/img/banners/banner-07.png	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/website/assets/img/banners/banner-07.png	(from https://www.gaussfleet.com/)
10:08:09	279216/279216	---M--	200	added ('OK')	image/jpeg	etag:%22442b0-5ad9d5cba9cb0%22	https://www.gaussfleet.com/website/assets/img/work/bg-02.jpg	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/website/assets/img/work/bg-02.jpg	(from https://www.gaussfleet.com/)
10:08:09	86926/86926	---M--	200	added ('OK')	application/javascript	etag:%221538e-5ad9d5eee3dbf%22	https://www.gaussfleet.com/website/assets/plugins/jquery/jquery-3.3.1.min.js	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/website/assets/plugins/jquery/jquery-3.3.1.min.js	(from https://www.gaussfleet.com/)
10:08:09	70966/70966	---M--	200	added ('OK')	application/javascript	etag:%2211536-5ad9d5d53e6df%22	https://www.gaussfleet.com/website/assets/plugins/bootstrap/js/bootstrap.bundle.min.js	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/website/assets/plugins/bootstrap/js/bootstrap.bundle.min.js	(from https://www.gaussfleet.com/)
10:08:09	12331/12331	---M--	200	added ('OK')	application/javascript	etag:%22302b-5ad9d5c892888%22	https://www.gaussfleet.com/website/assets/plugins/pace/pace.min.js	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/website/assets/plugins/pace/pace.min.js	(from https://www.gaussfleet.com/)
10:08:10	3886/3886	---M--	200	added ('OK')	application/javascript	etag:%22f2e-5ad9d5e55f177%22	https://www.gaussfleet.com/website/assets/plugins/js-cookie/js.cookie.js	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/website/assets/plugins/js-cookie/js.cookie.js	(from https://www.gaussfleet.com/)
10:08:10	7769260/7769260	---M--	200	added ('OK')	image/jpeg	etag:%22768cac-5ad9d5cdcd280%22	https://www.gaussfleet.com/website/assets/img/banners/banner-06.jpg	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/website/assets/img/banners/banner-06.jpg	(from https://www.gaussfleet.com/)
10:08:10	10075/10075	---M--	200	added ('OK')	application/javascript	etag:%22275b-5ad9d5d7d1da7%22	https://www.gaussfleet.com/website/assets/plugins/scrollMonitor/scrollMonitor.js	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/website/assets/plugins/scrollMonitor/scrollMonitor.js	(from https://www.gaussfleet.com/)
10:08:10	2971/2971	---M--	200	added ('OK')	application/javascript	etag:%22b9b-5ad9d5c2b6888%22	https://www.gaussfleet.com/website/assets/plugins/paroller/jquery.paroller.min.js	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/website/assets/plugins/paroller/jquery.paroller.min.js	(from https://www.gaussfleet.com/)
10:08:10	7990/7990	---M--	200	added ('OK')	application/javascript	etag:%221f36-5ad9d63fc81c6%22	https://www.gaussfleet.com/gauss/assets/plugins/mask/jquery.mask.min.js	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/gauss/assets/plugins/mask/jquery.mask.min.js	(from https://www.gaussfleet.com/)
10:08:10	16143/16143	---M--	200	added ('OK')	application/javascript	etag:%223f0f-5ad9d5ef682ef%22	https://www.gaussfleet.com/gauss/assets/plugins/sweetalert/sweetalert.min.js	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/gauss/assets/plugins/sweetalert/sweetalert.min.js	(from https://www.gaussfleet.com/)
10:08:11	4674/4674	---M--	200	added ('OK')	application/javascript	etag:%221242-5ad9d609c66d7%22	https://www.gaussfleet.com/website/assets/js/apps.min.js	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/website/assets/js/apps.min.js	(from https://www.gaussfleet.com/)
10:08:11	764/764	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2012:45:04%20GMT	https://www.gaussfleet.com/send/email/contact/	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/send/email/contact/index.html	(from https://www.gaussfleet.com/)
10:08:11	957/957	---M--	200	added ('OK')	image/png	etag:%223bd-5ad9d5e734547%22	https://www.gaussfleet.com/website/assets/css/images/bg-content-cover.png	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/website/assets/css/images/bg-content-cover.png	(from https://www.gaussfleet.com/website/assets/css/style.min.css?v=1.0)
10:08:12	199657/199657	---M--	200	added ('OK')	image/png	etag:%2230be9-5ad9d5a4b1b80%22	https://www.gaussfleet.com/website/assets/img/work/duvida.png	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/website/assets/img/work/duvida.png	(from https://www.gaussfleet.com/api-javascript)
10:08:13	5384151/5384151	---M--	200	added ('OK')	image/png	etag:%225227d7-5ad9d5e28f9bf%22	https://www.gaussfleet.com/website/assets/img/banners/banner-01.png	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/website/assets/img/banners/banner-01.png	(from https://www.gaussfleet.com/api-javascript)
